IP地址	端口	回源端口	TLS	数据中心	地区	城市	TCP延迟(ms)	速度(MB/s)
8.217.159.210	8443	8443	TRUE	HKG	Asia Pacific	Hong Kong	47	8.61
8.210.9.129	2095	2095	FALSE	HKG	Asia Pacific	Hong Kong	38	8.61
8.209.240.227	2095	2095	FALSE	LAX	North America	Los Angeles	196	8.61
8.210.21.65	2095	2095	FALSE	HKG	Asia Pacific	Hong Kong	41	8.61
8.222.169.182	8880	8880	FALSE	SIN	Asia Pacific	Singapore	21	8.6
8.209.243.99	2095	2095	FALSE	NRT	Asia Pacific	Tokyo	82	8.6
8.218.3.12	2096	2096	TRUE	HKG	Asia Pacific	Hong Kong	79	8.6
47.74.42.111	2086	2086	FALSE	NRT	Asia Pacific	Tokyo	79	8.6
47.74.4.47	8443	8443	TRUE	HKG	Asia Pacific	Hong Kong	176	8.6
8.219.170.58	2053	2053	TRUE	SIN	Asia Pacific	Singapore	40	8.6
47.74.5.99	8443	8443	TRUE	HKG	Asia Pacific	Hong Kong	202	8.6
47.236.7.246	2053	2053	TRUE	SIN	Asia Pacific	Singapore	87	8.6
8.219.210.64	80	80	FALSE	SIN	Asia Pacific	Singapore	10	8.59
47.74.54.33	2082	2082	FALSE	LAX	North America	Los Angeles	187	8.59
8.219.4.122	2095	2095	FALSE	SIN	Asia Pacific	Singapore	9	8.59
47.245.108.213	8080	8080	FALSE	SIN	Asia Pacific	Singapore	13	8.59
8.218.22.210	8880	8880	FALSE	HKG	Asia Pacific	Hong Kong	51	8.59
47.245.80.142	2086	2086	FALSE	SIN	Asia Pacific	Singapore	30	8.59
8.219.84.102	80	80	FALSE	SIN	Asia Pacific	Singapore	16	8.58
47.236.19.51	2083	2083	TRUE	SIN	Asia Pacific	Singapore	60	8.58
8.219.65.191	2096	2096	TRUE	SIN	Asia Pacific	Singapore	24	8.58
8.222.221.109	2096	2096	TRUE	SIN	Asia Pacific	Singapore	75	8.57
8.217.159.210	2083	2083	TRUE	HKG	Asia Pacific	Hong Kong	70	8.57
8.219.235.164	8443	8443	TRUE	SIN	Asia Pacific	Singapore	48	8.56
8.219.104.242	2052	2052	FALSE	SIN	Asia Pacific	Singapore	43	8.56
8.219.220.88	2087	2087	TRUE	SIN	Asia Pacific	Singapore	81	8.56
47.74.45.143	2096	2096	TRUE	HKG	Asia Pacific	Hong Kong	218	8.56
8.219.134.117	8443	8443	TRUE	SIN	Asia Pacific	Singapore	103	8.56
8.219.101.138	2053	2053	TRUE	SIN	Asia Pacific	Singapore	69	8.55
8.219.122.96	2095	2095	FALSE	SIN	Asia Pacific	Singapore	45	8.55
8.209.248.161	2052	2052	FALSE	NRT	Asia Pacific	Tokyo	84	8.55
47.74.49.62	2095	2095	FALSE	LAX	North America	Los Angeles	185	8.55
47.236.148.174	2086	2086	FALSE	SIN	Asia Pacific	Singapore	290	8.55
8.219.66.156	8080	8080	FALSE	HKG	Asia Pacific	Hong Kong	99	8.54
8.219.142.191	2052	2052	FALSE	SIN	Asia Pacific	Singapore	10	8.53
8.219.174.213	2095	2095	FALSE	SIN	Asia Pacific	Singapore	22	8.53
8.219.74.35	443	443	TRUE	SIN	Asia Pacific	Singapore	183	8.53
47.74.15.117	2086	2086	FALSE	HKG	Asia Pacific	Hong Kong	169	8.53
8.222.144.117	2053	2053	TRUE	SIN	Asia Pacific	Singapore	112	8.52
8.219.92.89	2053	2053	TRUE	SIN	Asia Pacific	Singapore	72	8.52
47.243.162.49	2087	2087	TRUE	HKG	Asia Pacific	Hong Kong	50	8.52
8.219.206.53	8080	8080	FALSE	SIN	Asia Pacific	Singapore	15	8.52
47.74.13.200	80	80	FALSE	LAX	North America	Los Angeles	191	8.52
8.219.245.187	2086	0	FALSE	SIN	Asia Pacific	Singapore	4	8.51
8.219.178.101	8443	8443	TRUE	SIN	Asia Pacific	Singapore	98	8.51
